% Device,CC1942005
% File name,CC1942005_20240209_194325
% Cast time (UTC),2024-02-09 19:43:25
% Cast time (local),2024-02-09 16:43:25
% Sample type,Cast
% Cast data,Raw
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-22.9159611
% Start longitude,-43.1719934
% Start altitude,-8.8199996948242188
% Start GPS horizontal error(Meter),38.7400016784668
% Start GPS vertical error(Meter),266.86099243164062
% Start GPS number of satellites,3
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),50
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-10-28
% Temperature calibration date,2019-10-25
% Pressure calibration date,2019-10-23
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
0.2,0,28.233993530273438,747.4278564453125
0.4,-0.0070635171300441613,28.229684829711914,748.90203857421875
0.6,-0.0086586657298131087,28.227781295776367,749.35888671875
0.8,-0.00697126733251352,28.222738265991211,741.86090087890625
1,-0.010206735756502994,28.200733184814453,740.26983642578125
1.2,-0.0041438795955297536,28.194456100463867,745.00299072265625
1.4,-0.0095670769013551649,28.204387664794922,746.02362060546875
1.6,-0.012801591651028232,28.203365325927734,744.9844970703125
1.8,-0.00072486525079895614,28.189859390258789,740.83489990234375
2,-0.0023190601762514973,28.168231964111328,739.046630859375
2.2,-0.00336775339272144,28.155998229980469,738.1580810546875
2.4,-0.0082435416409296636,28.149330139160156,734.27691650390625
2.6,-0.0049158234194095485,28.127185821533203,737.4302978515625
2.8,-0.009790657993301366,28.118297576904297,748.24810791015625
3,-0.0053700290051814648,28.119787216186523,755.94427490234375
3.2,-0.0075106793139347872,28.1190242767334,755.2730712890625
3.4,-0.0058251882652680109,28.11296272277832,764.83935546875
3.6,-0.00085715021953092219,28.111476898193359,767.94537353515625
3.8,-0.0062793938510381508,28.100299835205078,774.4141845703125
4,-0.013888412690066687,28.089052200317383,788.27777099609375
4.2,-0.010015192759563973,28.094951629638672,805.4173583984375
4.4,-0.0044997456562096971,28.111236572265625,807.000244140625
4.6,-0.0060948942559786445,28.11700439453125,807.6292724609375
4.8,0.0021547371125123504,28.121028900146484,805.3505859375
5,-0.0043613709599146233,28.1406192779541,785.2396240234375
5.2,0.0011521687948086168,28.152410507202148,761.7598876953125
5.4,-0.012472627632110545,28.14582633972168,756.87738037109375
5.6,-0.010238773851510175,28.123390197753906,760.77886962890625
5.8,-0.010739104336044747,28.096302032470703,807.48748779296875
6,-0.0052255645813232832,28.087223052978516,784.12713623046875
6.2,-0.0068188058324611944,28.105901718139648,754.4974365234375
6.4,-0.010601683314066079,28.119771957397461,725.877685546875
6.6,-0.011101060124286022,28.123043060302734,693.6187744140625
6.8,-0.017071666487728621,28.115192413330078,690.443603515625
7,-0.012650083825290537,28.114179611206055,683.5069580078125
7.2,-0.0071355903962526668,28.11808967590332,674.22314453125
7.4,-0.0059956010565702655,28.137214660644531,665.35235595703125
7.6,-0.0048565653912042706,28.153297424316406,656.8021240234375
7.8,-0.0091839909074771242,28.161636352539062,646.72930908203125
8,-0.0096862287406462855,28.169208526611328,648.08258056640625
8.2,-0.010733014608483416,28.159111022949219,642.86962890625
8.4,-0.0013904724733890816,28.154050827026367,636.763916015625
8.6,-0.0073601251625152742,28.154722213745117,638.8956298828125
8.8,-0.010594639912188342,28.1323184967041,639.1175537109375
9,-0.0067204663073674453,28.091880798339844,637.9493408203125
9.2,-0.0033937017601655128,28.051891326904297,640.88238525390625
9.4,-0.0077220809507565491,28.034414291381836,641.05535888671875
9.6,-0.0082233651096075278,28.015853881835938,640.8216552734375
9.8,-0.0032543733895540328,28.016355514526367,640.84869384765625
10,-0.0064898418135435065,28.038419723510742,639.5196533203125
10.2,0.0017588358806310822,28.055908203125,642.65625
10.4,-0.0047572721917941152,28.078910827636719,640.4974365234375
10.6,-0.001976963027892964,28.083093643188477,641.739501953125
10.8,0.00080334613600818727,28.087455749511719,642.17999267578125
11,0.0013968800923915836,28.10401725769043,638.32855224609375
11.2,0.0008955959335388286,28.119068145751953,639.18670654296875
11.4,-0.0034337369313686139,28.129501342773438,635.82501220703125
11.6,-0.0017463385340672488,28.145709991455078,637.50640869140625
11.8,0.0026752441283690587,28.151102066040039,641.78759765625
12,-0.0022005441198391651,28.154518127441406,640.09228515625
12.2,3.2355986446575E-05,28.155120849609375,638.3126220703125
12.4,-0.0053889339707460238,28.157819747924805,636.4725341796875
12.6,-0.0086244023947354975,28.157491683959961,637.58355712890625
12.8,-0.0069370039974359088,28.156143188476562,636.6024169921875
13,-0.0036111931245486062,28.153823852539062,636.06494140625
13.2,-0.0073931169318388612,28.139303207397461,637.0030517578125
13.4,0.0085116581744451025,28.119407653808594,634.59185791015625
13.6,-0.00019122510549962613,28.117765426635742,637.11322021484375
13.8,0.018447734265921056,28.126865386962891,5260.0419921875
14,0.090132920138806583,28.171871185302734,49842.3125
14.2,0.179323751763647,28.798891067504883,49854.09375
14.4,0.20233340052715754,29.683605194091797,49822.88671875
14.6,0.20457106900502353,30.276002883911133,49790.4921875
14.8,0.20461337920652412,30.632804870605469,49779.84375
15,0.20465855043097214,30.858396530151367,49792.203125
15.2,0.20033207858901392,31.003025054931641,48943.375
15.4,0.19654920110740903,31.10394287109375,48760.953125
15.6,0.20425428444123206,31.157421112060547,49754.94140625
15.8,0.19882917978677384,31.188713073730469,49731.07421875
16,0.19668948315233514,31.209949493408203,49712.14453125
16.2,0.21095393843440213,31.221118927001953,49720.17578125
16.4,0.20498237839664313,31.217521667480469,49702.22265625
16.6,0.19300076281689194,31.215770721435547,49679.84375
16.8,0.20453389485677143,31.222812652587891,49691.359375
17,0.21387452964323117,31.225397109985352,49705.515625
17.2,0.22813612390234717,31.214876174926758,49693.3515625
17.4,0.25389044734847666,31.189352035522461,49760.9453125
17.6,0.29495505827019031,31.184768676757812,49820.9921875
17.8,0.33547130645997036,31.211952209472656,49839.234375
18,0.38802292452279907,31.233989715576172,49869.58984375
18.2,0.43072880894304788,31.260431289672852,49899.85546875
18.4,0.50461412146388263,31.277462005615234,50163.33984375
18.6,0.56044637917514706,31.297584533691406,50458.6328125
18.8,0.62175082011395233,31.301918029785156,51174.1015625
19,0.70329795209279489,31.27015495300293,51557.66796875
19.2,0.757495612025739,31.165403366088867,51734.18359375
19.4,0.80294235643134115,31.035324096679688,51807.74609375
19.6,0.84784169177932434,30.923883438110352,51831.4375
19.8,0.91462403799156533,30.838237762451172,51841.21875
20,0.98414152214326123,30.7724609375,51862.57421875
20.2,1.0793729268882171,30.702775955200195,51881.65234375
20.4,1.1926554790941104,30.645784378051758,51878.734375
20.6,1.3250944872936579,30.612247467041016,51908.1484375
20.8,1.4695774484350981,30.591718673706055,51916.15625
21,1.6096868591614992,30.587421417236328,51921.58203125
21.2,1.751443265432334,30.583148956298828,51906.87890625
21.4,1.842316378551315,30.573694229125977,51898.9140625
21.6,1.9014607471634584,30.567974090576172,51884.75
21.8,1.9759258936686681,30.567085266113281,51773.265625
22,2.0487488130010281,30.561161041259766,51478.46875
22.2,2.0936653144867066,30.516096115112305,51431.375
22.4,2.1292806303644749,30.449804306030273,51466.38671875
22.6,2.1988229100483974,30.391029357910156,51275.84375
22.8,2.2678254100692321,30.277162551879883,50904.8046875
23,2.3335377336984653,30.042366027832031,50683.921875
23.2,2.3954248696445948,29.784103393554688,50585.734375
23.4,2.4644283233397459,29.564670562744141,50535.109375
23.6,2.5164640035973971,29.351461410522461,50517.4296875
23.8,2.6057196850757514,29.175399780273438,50517.74609375
