% Device,CC1942005
% File name,CC1942005_20240202_123818
% Cast time (UTC),2024-02-02 12:38:18
% Cast time (local),2024-02-02 09:38:18
% Sample type,Cast
% Cast data,Raw
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-22.9254945
% Start longitude,-43.1153735
% Start altitude,-4.0830001831054688
% Start GPS horizontal error(Meter),8.625
% Start GPS vertical error(Meter),14.972999572753906
% Start GPS number of satellites,7
% End latitude,-22.9254808
% End longitude,-43.1153088
% End altitude,-6.8639998435974121
% End GPS horizontal error(Meter),49.695999145507812
% End GPS vertical error(Meter),49.368000030517578
% End GPS number of satellites,6
% Cast duration (Seconds),86.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-10-28
% Temperature calibration date,2019-10-25
% Pressure calibration date,2019-10-23
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
5.6,0,27.434783935546875,4253.46630859375
5.8,0.053635785145125681,27.426494598388672,41658.54296875
6,0.062426942909880268,27.376314163208008,43534.96484375
6.2,0.037861434109691672,27.31525993347168,43358.8828125
6.4,0.046656406571711884,27.272426605224609,42116.5
6.6,0.066387162419962564,27.247346878051758,38347.72265625
6.8,0.065884763971338245,27.228061676025391,42339.9765625
7,0.063190821943612363,27.217100143432617,42600.6171875
7.2,0.075265480379753669,27.203769683837891,43273.2109375
7.4,0.072027943991674448,27.196430206298828,43707.27734375
7.6,0.072069139903401691,27.192344665527344,43815.5625
7.8,0.058440368163761747,27.190202713012695,43889.33984375
8,0.055749287158985084,27.19195556640625,43879.734375
8.2,0.0847783675921967,27.192163467407227,43677.87109375
8.4,0.10560489522999816,27.192054748535156,43755.84375
8.6,0.14174075666906738,27.188304901123047,43679.6171875
8.8,0.21178927679954462,27.188222885131836,43384.90625
9,0.28511843657845937,27.196647644042969,43281.25390625
9.2,0.35352568321040145,27.220375061035156,43948.2890625
9.4,0.38802599319683573,27.24488639831543,44281.0390625
9.6,0.35853571022672526,27.260564804077148,43751.0078125
9.8,0.33670152466872594,27.266590118408203,44392.703125
10,0.33564980981385162,27.272916793823242,44079.3828125
10.2,0.34772637559862574,27.275928497314453,44243.28125
10.4,0.36964581400302876,27.275875091552734,44317.98046875
10.6,0.37132923708760757,27.280416488647461,44303.34765625
10.8,0.3555117827918135,27.27995491027832,44286.96484375
11,0.35336715717033762,27.283956527709961,44288.359375
11.2,0.38239719127786564,27.284435272216797,44287.265625
11.4,0.40486499241420226,27.283184051513672,44300.375
11.6,0.40654841549878107,27.280746459960938,44295.48828125
11.8,0.37596426808775441,27.281896591186523,44334.00390625
12,0.32842474500533925,27.283533096313477,44287.7578125
12.2,0.31534147497468368,27.284523010253906,44267.4375
12.4,0.31210298491228983,27.284257888793945,44270.68359375
12.6,0.33621015219852879,27.285892486572266,44237.83984375
12.8,0.38711747512441619,27.281147003173828,44285.0234375
13,0.46482590736426666,27.283784866333008,44227.140625
13.2,0.5447316052291189,27.286361694335938,44314.98046875
13.4,0.59345310662180317,27.288257598876953,44365.7265625
13.6,0.62357700517024917,27.291690826416016,44342.84375
13.8,0.63839156991742563,27.292375564575195,44285.875
14,0.65703132234770756,27.293952941894531,44291.28125
14.2,0.65598151484146427,27.295614242553711,44237.5
14.4,0.61226622576784,27.30426025390625,44269.87109375
14.6,0.56636225413806329,27.318140029907227,44323.48828125
14.8,0.56038957981053272,27.325389862060547,44224.37890625
15,0.59051538570761153,27.329311370849609,44381.46484375
15.2,0.65674157917793075,27.332101821899414,44436.71875
15.4,0.70109143750420877,27.336742401123047,44492.2265625
15.6,0.73942551824259617,27.344005584716797,44524.1953125
15.8,0.76900486875637419,27.349357604980469,44604.3671875
16,0.80460476522962487,27.358100891113281,44623.15625
16.2,0.83035606703734821,27.363256454467773,44619.59375
16.4,0.86267532386215962,27.368896484375,44626.453125
16.6,0.86107810729830092,27.37220573425293,44543.91796875
16.8,0.8671360344722352,27.376058578491211,44506.18359375
17,0.88742087509831791,27.385828018188477,44516.4140625
17.2,0.93888419015067015,27.392637252807617,44918.3828125
17.4,0.97448408662392083,27.39137077331543,45211.80859375
17.6,1.0062578417397479,27.393129348754883,45541.4765625
17.8,1.0517063328785259,27.425201416015625,45732.1484375
18,1.070893494366425,27.505708694458008,45694.4296875
18.2,1.0539754999095,27.569578170776367,45492.0625
18.4,1.0430799587606803,27.616611480712891,45487.00390625
18.6,1.0398433760469175,27.660434722900391,45485.8359375
18.8,1.0677843140851095,27.690132141113281,45545.140625
19,1.0968229312614852,27.697132110595703,45723.203125
19.2,1.1417230596683297,27.704851150512695,45800.0859375
19.4,1.1762319527236116,27.723909378051758,45822.3203125
19.6,1.2003467494043818,27.738494873046875,45818.359375
19.8,1.2009363080480409,27.751457214355469,45815.0078125
20,1.174173533622854,27.760335922241211,45774.30078125
20.2,1.1610864488949328,27.765434265136719,45781.609375
20.4,1.1682420552070507,27.770994186401367,45774.70703125
20.6,1.18250921089661,27.777070999145508,45803.875
20.8,1.2099046472258177,27.777006149291992,45874.5625
21,1.2258130764139104,27.7721004486084,45885.88671875
21.2,1.2559446043568876,27.768997192382812,45913.8828125
21.4,1.2729478516602164,27.766080856323242,45914.86328125
21.6,1.2998025546520218,27.767116546630859,45953.421875
21.8,1.3178996663962685,27.76959228515625,46010.35546875
22,1.3403741432528182,27.771190643310547,45974.59765625
22.2,1.3333028361127877,27.783674240112305,45915.078125
22.4,1.3388143079034212,27.796428680419922,45889.28125
22.6,1.3295609939274531,27.814491271972656,45907.390625
22.8,1.3038882692459186,27.841423034667969,46011.6953125
23,1.2814980915614544,27.872369766235352,46070.05859375
23.2,1.3422711752905627,27.893945693969727,46160.7734375
23.4,1.4347768182237743,27.904697418212891,46303.36328125
23.6,1.5218121852780797,27.917469024658203,46348.09765625
23.8,1.5131015119881468,27.937189102172852,46190.96875
24,1.4606210022724326,27.945417404174805,46256.1875
24.2,1.4136117221099411,27.952289581298828,46228.171875
24.4,1.3578486653971549,27.95631217956543,46206.7890625
24.6,1.2911441032522415,27.960762023925781,46201.6484375
24.8,1.2550839579164101,27.962972640991211,46202.9921875
25,1.2589541562085085,27.964986801147461,46211.7109375
25.2,1.2951043227623256,27.966331481933594,46245.3515625
25.4,1.373383052243387,27.964170455932617,46261.6953125
25.6,1.4160992664656611,27.9661865234375,46261.8984375
25.8,1.4735955252435993,27.965902328491211,46324.078125
26,1.5392924294683148,27.961868286132812,46337.1328125
26.2,1.580370231215003,27.95574951171875,46333.3671875
26.4,1.6296563078029998,27.947782516479492,46369.2109375
26.6,1.6466605087806432,27.940982818603516,46384.2421875
26.8,1.6800831667895384,27.934181213378906,46391.68359375
27,1.7310086095274375,27.927322387695312,46399.890625
27.2,1.7430928047067429,27.915111541748047,46419.80078125
27.4,1.7425865915608529,27.9067325592041,46402.625
27.6,1.7420841931122268,27.903823852539062,46411.80078125
27.8,1.7432182997905557,27.90321159362793,46415.5078125
28,1.7476387681632204,27.900737762451172,46410.6875
28.2,1.7734005603884242,27.898874282836914,46399.421875
28.4,1.8188643103162647,27.898761749267578,46365.6953125
28.6,1.8801867104516248,27.8892765045166,46261.16796875
28.8,1.9114235469273151,27.861373901367188,46285.875
29,1.9103727857467572,27.842082977294922,46362.26953125
29.2,1.9426987182917852,27.835727691650391,46348.4765625
29.4,1.954234550739157,27.829202651977539,46337.67578125
29.6,1.9592014744951225,27.826511383056641,46357.4609375
29.8,1.9586971686978654,27.800527572631836,46331.8125
30,1.9543638605202354,27.742786407470703,46273.734375
30.2,1.9445526470691696,27.678424835205078,46192.703125
30.4,1.9435028395629281,27.617805480957031,46178.76171875
30.6,1.959416990796921,27.576091766357422,46226.87890625
30.8,1.9627435947286678,27.547468185424805,46214.98046875
31,1.9529381033234987,27.537708282470703,46188.87890625
31.2,1.9535276619671596,27.525571823120117,46181.88671875
31.4,1.9656089961235157,27.51544189453125,46179.9453125
31.6,2.0001264722476453,27.523359298706055,46068.26953125
31.8,2.0450399520949194,27.545034408569336,46006.59765625
32,2.0593099688074279,27.55421257019043,46004.1015625
32.2,2.0555259770360479,27.550752639770508,46048.578125
32.4,2.0577568091782439,27.543916702270508,46058.5625
32.6,2.0862537393429008,27.526115417480469,46002.15234375
32.8,2.1306217174811906,27.509544372558594,45945.14453125
33,2.1777286482561991,27.481826782226562,45909.7265625
33.2,2.2478181763822818,27.429414749145508,45899.16015625
33.4,2.2713951007485971,27.3741512298584,45899.29296875
33.6,2.262137018401047,27.335731506347656,45935.48828125
33.8,2.2665536720764461,27.306743621826172,45906.86328125
34,2.2863025477367085,27.280729293823242,45919.2265625
34.2,2.2934591077231428,27.262409210205078,45925.8203125
34.4,2.260665296921001,27.255548477172852,45914.37109375
34.6,2.2437453951154431,27.245012283325195,45913.62109375
34.8,2.2290094074944555,27.240028381347656,45915.6640625
35,2.2651710181400695,27.235538482666016,45908.734375
35.2,2.3089992166152733,27.232980728149414,45883.78125
35.4,2.3396895977076646,27.228034973144531,45892.0859375
35.6,2.3550563398840385,27.222345352172852,45896.7890625
35.8,2.3715159928270158,27.224632263183594,45896.81640625
36,2.3961877353085672,27.220897674560547,45888.640625
36.2,2.4082709768135562,27.218971252441406,45911.359375
36.4,2.4039348076129787,27.220344543457031,45912.2578125
36.6,2.3919387263030263,27.2050838470459,45900.62890625
36.8,2.372822512546783,27.185207366943359,45883.47265625
37,2.360282836876479,27.162065505981445,45878.4609375
37.2,2.3346043901490461,27.144262313842773,45878.7421875
37.4,2.3319114017956366,27.132236480712891,45885.47265625
37.6,2.3385195990501373,27.126029968261719,45881.421875
37.8,2.3484160653476049,27.124324798583984,45892.09375
38,2.3681601726362853,27.122276306152344,45892.23046875
38.2,2.4076071913019188,27.123634338378906,45888.90625
38.4,2.4689448502263414,27.124561309814453,45902.23828125
38.6,2.5226235507157053,27.117435455322266,45922.234375
38.8,2.5686394780727451,27.106609344482422,45952.140625
39,2.5861987175025369,27.098224639892578,45936.46484375
39.2,2.5949984583361392,27.092655181884766,45931.4765625
39.4,2.6185734753538235,27.0894832611084,45939.8828125
39.6,2.6470761275643788,27.088245391845703,45955.984375
39.8,2.6569745012104811,27.084861755371094,45957.21484375
40,2.6247290531402729,27.082763671875,45985.1015625
