% Device,CC1942005
% File name,CC1942005_20240209_123733
% Cast time (UTC),2024-02-09 12:37:33
% Cast time (local),2024-02-09 09:37:33
% Sample type,Cast
% Cast data,Raw
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-22.9250907
% Start longitude,-43.115064
% Start altitude,5.53000020980835
% Start GPS horizontal error(Meter),101.24099731445313
% Start GPS vertical error(Meter),649.20098876953125
% Start GPS number of satellites,3
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),69.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-10-28
% Temperature calibration date,2019-10-25
% Pressure calibration date,2019-10-23
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
0.2,0,27.41899299621582,6.5526914596557617
0.4,0.0054098912057156667,27.420021057128906,10.240169525146484
0.6,0.0064452783220758647,27.440738677978516,10.311952590942383
0.8,-0.0045499360630270047,27.47320556640625,10.041632652282715
1,-0.0095303265345574317,27.494119644165039,9.42094612121582
1.2,-0.0019327064470058275,27.5218448638916,9.0223388671875
1.4,-0.001444728388262817,27.544790267944336,8.7310752868652344
1.6,-0.010799622949148713,27.549243927001953,8.7501449584960938
1.8,-0.014686148979761171,27.546485900878906,8.7648830413818359
2,-0.010916577598262478,27.498750686645508,8.6746997833251953
2.2,-0.0049592773349296237,27.450963973999023,8.7050743103027344
2.4,-0.007205483541323332,27.407398223876953,8.74066162109375
2.6,-0.0039823675431271965,27.400535583496094,8.7298736572265625
2.8,-0.00896371168897403,27.403669357299805,8.7091426849365234
3,-0.00081868254380346173,27.403575897216797,8.7102241516113281
3.2,-0.011813896928908108,27.403005599975586,8.6919536590576172
3.4,-0.016794287400438535,27.399690628051758,8.6369705200195312
3.6,-0.0064624830477502115,27.376424789428711,8.57171630859375
3.8,0.0011351370398013927,27.357101440429688,8.5980930328369141
4,-0.000564613783289758,27.333883285522461,8.55673599243164
4.2,0.0042997757134415338,27.326236724853516,8.569427490234375
4.4,0.009162257861540013,27.327766418457031,8.488133430480957
4.6,0.0085563714793650547,27.343875885009766,8.4248409271240234
4.8,-0.0013449784648216223,27.388347625732422,8.4411191940307617
5,-0.0035911846712153306,27.41741943359375,8.4526290893554688
5.2,-0.0063838462609080437,27.438579559326172,8.4129190444946289
5.4,-0.009175554176286127,27.436397552490234,8.4056549072265625
5.6,-0.0015798414373673353,27.424484252929688,8.4023733139038086
5.8,0.0027371390017467689,27.418418884277344,8.4057064056396484
6,0.0059602549999429044,27.430301666259766,8.4065542221069336
6.2,-0.0012078643534216838,27.455377578735352,8.3775081634521484
6.4,-0.0034531168854989858,27.472620010375977,8.4025897979736328
6.6,-0.007339642916111444,27.465110778808594,8.3975315093994141
6.8,-0.0057578004164504648,27.455953598022461,8.3193855285644531
7,0.033559027434773014,27.467056274414062,2182.833251953125
7.2,0.068501351196641025,27.477994918823242,69085.125
7.4,0.0657067822583155,27.497177124023438,48312.421875
7.6,0.082601773256511635,27.520664215087891,48118.078125
7.8,0.096214217257637458,27.57537841796875,48101.82421875
8,0.13498363605124375,27.796934127807617,48176.83984375
8.2,0.1732123215074477,27.992240905761719,48204.2265625
8.4,0.20705601245681748,28.099857330322266,48237.21875
8.6,0.21301522006878315,28.160072326660156,48331.8359375
8.8,0.20748551319100272,28.200473785400391,48331.8984375
9,0.20578385501927698,28.236129760742188,48326.1171875
9.2,0.20900887836610593,28.272649765014648,48349.91015625
9.4,0.20402562687162806,28.293102264404297,48388.1640625
9.6,0.2072487428698242,28.314641952514648,48452.7890625
9.8,0.19242834080161408,28.331754684448242,48519.2265625
10,0.17924635120898991,28.345293045043945,48543.55859375
10.2,0.17918787388443214,28.353927612304688,48555.515625
10.4,0.19662932026592905,28.35645866394043,48445.609375
10.6,0.25180765934762306,28.358308792114258,48409.375
10.8,0.29823603657628794,28.325719833374023,48473.5703125
11,0.37474520909303877,28.248863220214844,48499.88671875
11.2,0.4162526268490474,28.173276901245117,48529.41015625
11.4,0.465964504749099,28.109445571899414,48550.109375
11.6,0.49325931416770707,28.068527221679688,48561.40234375
11.8,0.5096040350853368,28.0504207611084,48569.0078125
12,0.50517105367142356,28.036148071289062,48570.46875
12.2,0.50675289617108454,28.032346725463867,48581.63671875
12.4,0.51106987661019865,28.033447265625,48581.2578125
12.6,0.51319912816747681,28.035005569458008,48599.0859375
12.8,0.53337571248842863,28.039619445800781,48579.78125
13,0.58035626714629274,28.038873672485352,48583.03515625
13.2,0.60108312154780918,28.035785675048828,48627.609375
13.4,0.6059503720674897,28.031520843505859,48623.08984375
13.6,0.59823293630787333,28.022006988525391,48594.703125
13.8,0.59598482275284859,28.012798309326172,48609.2421875
14,0.59702497824079082,28.002710342407227,48608.92578125
14.2,0.61610579077219008,27.991155624389648,48619.2734375
14.4,0.67129366659704637,27.989395141601562,48677.25
14.6,0.72101126654299641,27.984537124633789,48706.96484375
14.8,0.7860439223361162,27.978849411010742,48729.3046875
15,0.85709330939144124,27.974056243896484,48756.453125
15.2,0.92595782858787956,27.972381591796875,48771.8046875
15.4,1.0167053586485757,27.972255706787109,48835.10546875
15.6,1.0943274690925726,27.971256256103516,48940.59375
15.8,1.1774208090897922,27.980146408081055,49077.03125
16,1.2676314205103534,27.998350143432617,49235.296875
16.2,1.3901220001926316,28.030055999755859,49293.671875
16.4,1.5158970342206128,28.062992095947266,49326.0703125
16.6,1.63675587714752,28.095062255859375,49319.60546875
16.8,1.7291637541930793,28.1141357421875,49294.79296875
17,1.7778017948128593,28.12208366394043,49318.12890625
17.2,1.8029126900468953,28.125288009643555,49318
17.4,1.8138004865260484,28.129096984863281,49303.375
17.6,1.8542312059788344,28.131628036499023,49311.2109375
17.8,1.9067049246991985,28.132974624633789,49295.546875
18,1.9985749294303048,28.129898071289062,49293.53515625
18.2,2.0734828827698113,28.107959747314453,49346.7421875
18.4,2.08272654472748,28.082687377929688,49309.625
18.6,2.0651586069537036,28.064382553100586,49297.4765625
18.8,2.0645527205715286,28.056972503662109,49299.625
19,2.0530024677342755,28.051727294921875,49327.52734375
19.2,2.0403593041304227,28.049053192138672,49324.83984375
19.4,2.0353750989616266,28.043575286865234,49315.44140625
19.6,2.0309383028504477,28.037883758544922,49327.55859375
19.8,2.0314272345835072,28.031190872192383,49316.921875
20,2.0193295726886369,28.029802322387695,49308.2578125
20.2,2.0214607315945479,28.026290893554688,49318.4765625
20.4,2.024137392209445,28.025386810302734,49325.53515625
20.6,2.0333829615157466,28.026742935180664,49348.1796875
20.8,2.0327770751335716,28.030546188354492,49386.8203125
21,2.034359871307549,28.02979850769043,49385.83984375
21.2,2.0321127114268389,28.032159805297852,49394.6015625
21.4,2.0380738263874392,28.032171249389648,49398.5703125
21.6,2.0281658007230376,28.031730651855469,49395.6328125
21.8,2.0155188224219174,28.03314208984375,49400.234375
22,2.0039676159103479,28.0340633392334,49388.1640625
22.2,1.9880438126580557,28.034814834594727,49390.890625
22.4,1.9704768285585974,28.031337738037109,49382.546875
22.6,2.0130962305675357,28.031312942504883,49442.76171875
22.8,2.0557223082966889,28.024328231811523,49499.078125
23,2.0655124256376585,28.011798858642578,49501.4609375
23.2,2.0479444878638819,28.003715515136719,49450.4765625
23.4,2.0172387327072929,28.0000057220459,49440.75390625
23.6,2.0007656130487526,27.997459411621094,49420.4296875
23.8,2.0023455481997807,27.995445251464844,49425.9140625
24,2.0143291164684847,27.994148254394531,49448.9296875
24.2,2.0137232300863097,27.994110107421875,49456.35546875
24.4,2.0333667104643887,27.992946624755859,49471.18359375
24.6,2.0825559748390514,27.992542266845703,49577.24609375
24.8,2.1711482009446694,27.984130859375,49691.8671875
25,2.2564616947504827,27.968235015869141,49797.59375
25.2,2.3253548241764133,27.951818466186523,49858.73046875
25.4,2.3586797162976563,27.936458587646484,49847.921875
25.6,2.385985016133743,27.928628921508789,49823.34375
25.8,2.437369638784773,27.924152374267578,49877.25
26,2.4898490795510355,27.922153472900391,50064.8671875
26.2,2.5658623414232551,27.908987045288086,50211.13671875
26.4,2.6325763250361973,27.880100250244141,50263.26953125
26.6,2.6730194422550966,27.841621398925781,50265.25390625
26.8,2.6532590072279039,27.82305908203125,50161.7265625
27,2.6077703464927016,27.807954788208008,50214.796875
27.2,2.5858193215607219,27.793886184692383,50237.77734375
27.4,2.5912339811380196,27.781494140625,50208.25
27.6,2.6108803225390478,27.771324157714844,50261.8203125
27.8,2.6359950324703512,27.772026062011719,50356.17578125
28,2.6583765118108325,27.771749496459961,50434.609375
28.2,2.7125029481215286,27.759437561035156,50517.640625
28.4,2.7710115179161114,27.732032775878906,50555.63671875
28.6,2.8234985880769052,27.700935363769531,50593.8046875
28.8,2.9006142974588904,27.6805477142334,50646.5703125
29,2.9552910038501548,27.652791976928711,50681.953125
29.2,3.0181778924313587,27.624576568603516,50715.8125
29.4,3.0821653211736955,27.6109561920166,50762.44140625
